Nome,Età,Nazionalità,Tiri,Goal,Assist,Fuorigioco,Palle recuperate,Tackle vinti,Partite Giocate,Minuti,Squadra,Lega,Ruolo
JosuÃ© Albert,30.0,GUF,5.0,0.0,0.0,0.0,10.0,0.0,2,22,Clermont Foot,Ligue 1,DF
Luis Alberto,29.0,ESP,1.8,0.19,0.34,0.04,7.13,0.69,34,2353,Lazio,Serie A,MF
RaÃºl Albiol,36.0,ESP,0.22,0.0,0.0,0.07,8.83,0.55,28,2465,Villarreal,La Liga,DF
Marc Albrighton,32.0,ENG,0.32,0.08,0.16,0.16,6.11,1.27,17,1132,Leicester City,Premier League,FW
Paco AlcÃ¡cer,28.0,ESP,2.18,0.11,0.34,0.92,3.22,0.34,18,787,Villarreal,La Liga,FW
Thiago AlcÃ¡ntara,31.0,ESP,1.47,0.06,0.24,0.0,12.8,2.35,25,1534,Liverpool,Premier League,MF
RubÃ©n Alcaraz,31.0,ESP,1.87,0.16,0.0,0.08,12.0,2.44,14,1105,CÃ¡diz,La Liga,MF
Omar Alderete,25.0,PAR,0.64,0.07,0.0,0.0,10.6,1.69,29,2403,Valencia,La Liga,DF
IvÃ¡n Alejo,27.0,ESP,1.02,0.17,0.17,0.42,7.54,1.69,20,1065,CÃ¡diz,La Liga,FW
Carles AleÃ±Ã¡,24.0,ESP,1.82,0.04,0.08,0.04,6.16,0.85,33,2320,Getafe,La Liga,MF
Trent Alexander-Arnold,23.0,ENG,1.61,0.06,0.38,0.35,10.1,0.76,32,2853,Liverpool,Premier League,DF
Mircea Alexandru Tirlea,22.0,ROU,0.0,0.0,0.0,0.0,20.0,0.0,1,15,AlavÃ©s,La Liga,DF
Mohamed Ali Cho,18.0,FRA,2.06,0.2,0.05,0.54,4.07,0.34,32,1837,Angers,Ligue 1,FW
Allan,31.0,BRA,0.29,0.0,0.08,0.0,11.2,2.51,28,2183,Everton,Premier League,MF
Jim Allevinah,27.0,GAB,2.55,0.06,0.12,0.12,5.27,0.91,30,1488,Clermont Foot,Ligue 1,FW
Dele Alli,26.0,ENG,0.79,0.0,0.0,0.53,10.3,2.63,11,338,Everton,Premier League,MF
Dele Alli,26.0,ENG,0.55,0.14,0.0,0.27,6.3,0.96,10,657,Tottenham,Premier League,FW
Miguel AlmirÃ³n,28.0,PAR,1.68,0.05,0.0,0.47,6.39,1.73,30,1716,Newcastle Utd,Premier League,FW
Marcos Alonso,31.0,ESP,1.78,0.17,0.17,0.12,8.96,1.16,28,2167,Chelsea,Premier League,DF
Giorgio Altare,23.0,ITA,1.1,0.06,0.0,0.06,12.9,1.72,19,1466,Cagliari,Serie A,DF
Hugo Ãlvarez,36.0,ESP,10.0,0.0,0.0,0.0,0.0,0.0,1,11,Celta Vigo,La Liga,FW
Yeray Ãlvarez,27.0,ESP,0.39,0.0,0.0,0.05,12.2,0.92,22,1860,Athletic Club,La Liga,DF
Dani Alves,39.0,BRA,0.41,0.08,0.25,0.0,9.18,1.56,14,1098,Barcelona,La Liga,DF
Steven Alzate,23.0,COL,0.22,0.0,0.0,0.0,13.6,1.78,9,404,Brighton,Premier League,MF
Ibrahim Amadou,29.0,FRA,0.33,0.11,0.0,0.0,6.89,1.11,10,812,Metz,Ligue 1,DF
Emmanuel Amankwaa Akurugu,20.0,GHA,1.11,0.0,1.11,0.0,10.0,0.0,3,79,Getafe,La Liga,DF
Daniel Amartey,27.0,GHA,0.08,0.0,0.0,0.04,8.94,0.51,28,2123,Leicester City,Premier League,DF
Amath,25.0,SEN,1.12,0.0,0.1,0.61,4.8,1.33,19,884,Mallorca,La Liga,FW
Jordan Amavi,28.0,FRA,0.0,0.0,0.0,0.0,2.86,2.14,2,128,Marseille,Ligue 1,DF
Jordan Amavi,28.0,FRA,0.0,0.0,0.0,0.0,10.2,1.09,8,413,Nice,Ligue 1,DF
Wisdom Amey,16.0,ITA,0.0,0.0,0.0,0.0,10.0,0.0,1,71,Bologna,Serie A,DF
Kelvin Amian,24.0,FRA,0.88,0.03,0.03,0.03,5.03,1.33,32,2646,Spezia,Serie A,DF
Nadiem Amiri,25.0,GER,2.11,0.0,0.13,0.13,6.97,0.92,13,683,Genoa,Serie A,FW
Nadiem Amiri,25.0,GER,1.95,0.24,0.0,0.0,9.02,0.98,13,369,Leverkusen,Bundesliga,FW
Ethan Ampadu,21.0,WAL,0.28,0.0,0.12,0.0,10.4,1.69,29,2282,Venezia,Serie A,DF
Sofyan Amrabat,25.0,MAR,0.38,0.1,0.0,0.0,10.9,2.1,23,944,Fiorentina,Serie A,MF
Joachim Andersen,25.0,DEN,0.25,0.0,0.09,0.03,8.86,0.71,34,2916,Crystal Palace,Premier League,DF
Felipe Anderson,29.0,BRA,1.37,0.19,0.25,0.22,5.95,1.56,38,2888,Lazio,Serie A,FW
Sebastian Andersson,30.0,SWE,2.5,0.21,0.07,0.43,3.07,0.64,26,1257,KÃ¶ln,Bundesliga,FW
Florin Andone,29.0,ROU,1.5,0.0,0.0,1.5,4.0,0.0,5,176,CÃ¡diz,La Liga,FW
AndrÃ©s Andrade CedeÃ±o,23.0,PAN,0.6,0.0,0.0,0.09,11.2,1.72,17,1046,Arminia,Bundesliga,DF
Fredrik AndrÃ© BjÃ¸rkan,23.0,NOR,0.0,0.0,0.0,0.0,9.23,1.79,9,353,Hertha BSC,Bundesliga,DF
Benjamin AndrÃ©,31.0,FRA,0.59,0.07,0.03,0.07,11.5,2.55,33,2752,Lille,Ligue 1,MF
Robert Andrich,27.0,GER,1.49,0.2,0.1,0.1,11.3,1.63,26,1817,Leverkusen,Bundesliga,MF
JosÃ© Ãngel,32.0,ESP,0.92,0.08,0.08,0.0,10.6,2.0,23,1083,Osasuna,La Liga,DF
AngeliÃ±o,25.0,ESP,0.59,0.08,0.2,0.16,7.92,0.71,29,2298,RB Leipzig,Bundesliga,DF
Ebenezer Annan,19.0,GHA,0.0,0.0,0.0,0.0,13.3,0.0,1,25,Bologna,Serie A,DF
Cristian Ansaldi,35.0,ARG,0.91,0.0,0.39,0.26,7.79,1.17,19,691,Torino,Serie A,DF
Janis Antiste,19.0,FRA,1.25,0.11,0.0,0.57,4.55,1.25,18,796,Spezia,Serie A,FW
Waldemar Anton,25.0,GER,0.8,0.07,0.03,0.03,10.1,1.15,29,2595,Stuttgart,Bundesliga,DF
Josep Antoni GayÃ¡,21.0,ESP,0.0,0.0,0.0,0.0,6.67,0.0,1,58,Mallorca,La Liga,DF
Michail Antonio,32.0,JAM,2.52,0.3,0.24,0.39,4.18,0.7,36,2971,West Ham,Premier League,FW
Christopher Antwi-Adjei,28.0,GHA,2.3,0.08,0.08,0.87,5.56,1.51,25,1130,Bochum,Bundesliga,FW
Houssem Aouar,23.0,FRA,2.77,0.22,0.14,0.11,7.41,1.19,36,2504,Lyon,Ligue 1,FW
Adil Aouchiche,19.0,FRA,1.83,0.0,0.33,0.17,8.0,1.08,35,1081,Saint-Ãtienne,Ligue 1,FW
Dennis Appiah,29.0,FRA,0.09,0.0,0.0,0.09,7.12,1.55,32,2099,Nantes,Ligue 1,DF
Mauro Arambarri,26.0,URU,1.25,0.0,0.17,0.0,9.59,1.25,31,2663,Getafe,La Liga,MF
Mattia Aramu,27.0,ITA,2.45,0.3,0.21,0.3,5.19,0.47,32,2100,Venezia,Serie A,FW
Charles ArÃ¡nguiz,33.0,CHI,0.63,0.06,0.23,0.0,11.2,1.89,26,1578,Leverkusen,Bundesliga,MF
NÃ©stor Araujo,30.0,MEX,0.27,0.0,0.0,0.0,9.73,0.58,34,2617,Celta Vigo,La Liga,DF
Ronald AraÃºjo,23.0,URU,0.75,0.16,0.0,0.04,8.21,1.31,30,2272,Barcelona,La Liga,DF
Cameron Archer,20.0,ENG,3.33,0.0,0.0,0.0,6.67,0.0,3,27,Aston Villa,Premier League,FW
JesÃºs Areso,22.0,ESP,0.0,0.0,0.0,0.0,7.14,1.43,3,188,Osasuna,La Liga,DF
