Nome,Età,Nazionalità,Tiri,Goal,Assist,Fuorigioco,Palle recuperate,Tackle vinti,Partite Giocate,Minuti,Squadra,Lega,Ruolo
Liam Delap,19.0,ENG,0.0,0.0,0.0,0.0,0.0,0.0,1,10,Manchester City,Premier League,FW
Sacha Delaye,20.0,FRA,1.03,0.0,0.34,0.0,7.93,1.03,11,262,Montpellier,Ligue 1,FW
Filippo Delli Carri,23.0,ITA,1.08,0.0,0.0,0.0,6.76,1.35,5,334,Salernitana,Serie A,DF
Andy Delort,30.0,ALG,3.6,0.59,0.07,0.55,3.82,0.37,32,2448,Nice,Ligue 1,FW
Andy Delort,30.0,ALG,4.67,0.67,0.33,0.0,4.33,0.67,3,269,Montpellier,Ligue 1,FW
Fabian Delph,32.0,ENG,0.27,0.0,0.0,0.0,11.2,1.76,11,662,Everton,Premier League,MF
Moussa DembÃ©lÃ©,25.0,FRA,3.43,0.86,0.16,0.41,3.71,0.45,30,2207,Lyon,Ligue 1,FW
Ousmane DembÃ©lÃ©,25.0,FRA,3.12,0.06,0.83,0.25,4.97,1.21,21,1409,Barcelona,La Liga,FW
Yusuf Demir,18.0,AUT,0.48,0.0,0.0,0.0,8.57,0.48,6,192,Barcelona,La Liga,FW
Merih Demiral,24.0,TUR,1.17,0.05,0.09,0.14,9.2,1.17,28,1917,Atalanta,Serie A,DF
Kerem Demirbay,28.0,GER,1.58,0.04,0.18,0.13,10.0,1.71,29,2049,Leverkusen,Bundesliga,MF
Ermedin Demirovi?,24.0,BIH,2.68,0.21,0.31,1.24,5.15,0.41,31,871,Freiburg,Bundesliga,FW
Diego Demme,30.0,GER,0.26,0.13,0.0,0.0,10.6,1.82,19,692,Napoli,Serie A,MF
Jason Denayer,26.0,BEL,0.54,0.27,0.0,0.0,6.67,0.54,15,1002,Lyon,Ligue 1,DF
Leander Dendoncker,27.0,BEL,1.06,0.09,0.09,0.0,8.25,1.11,30,1950,Wolves,Premier League,MF
Emmanuel Dennis,24.0,NGA,2.13,0.35,0.21,0.42,5.75,0.98,33,2581,Watford,Premier League,FW
Fabio Depaoli,25.0,ITA,0.0,0.0,0.0,0.0,5.83,0.0,6,112,Sampdoria,Serie A,DF
Fabio Depaoli,25.0,ITA,1.15,0.13,0.13,0.51,7.56,0.64,18,703,Hellas Verona,Serie A,DF
Memphis Depay,28.0,NED,2.72,0.58,0.1,0.63,4.47,0.34,28,1851,Barcelona,La Liga,FW
Mike van der Hoorn,29.0,NED,0.0,0.0,0.0,0.0,0.0,10.0,1,14,Arminia,Bundesliga,DF
Mattia Destro,31.0,ITA,2.84,0.46,0.05,1.03,3.25,0.41,27,1744,Genoa,Serie A,FW
Gerard Deulofeu,28.0,ESP,2.61,0.45,0.17,1.13,4.74,0.31,34,2616,Udinese,Serie A,FW
Kiernan Dewsbury Hall,23.0,ENG,0.9,0.04,0.13,0.0,8.97,1.07,28,2105,Leicester City,Premier League,MF
Jacopo Dezi,30.0,ITA,5.0,0.0,0.0,0.0,25.0,0.0,1,16,Venezia,Serie A,MF
Samuel Di Carmine,33.0,ITA,2.5,0.0,0.0,0.0,5.0,0.0,1,36,Hellas Verona,Serie A,FW
Federico Di Francesco,27.0,ITA,1.64,0.33,0.0,0.86,5.07,0.66,26,1367,Empoli,Serie A,FW
Giovanni Di Lorenzo,28.0,ITA,0.63,0.03,0.13,0.25,7.24,1.35,33,2869,Napoli,Serie A,DF
Ãngel Di MarÃ­a,34.0,ARG,2.79,0.27,0.38,0.38,5.03,0.98,26,1645,Paris S-G,Ligue 1,FW
Francesco Di Mariano,26.0,ITA,0.0,0.0,0.0,0.0,0.0,1.43,1,62,Venezia,Serie A,FW
Francesco Di Tacchio,32.0,ITA,1.01,0.0,0.0,0.0,10.3,0.79,18,1255,Salernitana,Serie A,MF
Boulaye Dia,25.0,SEN,2.62,0.35,0.35,0.5,2.77,0.64,25,1269,Villarreal,La Liga,FW
Moussa Diaby,22.0,FRA,1.73,0.42,0.39,0.55,5.73,0.36,32,2760,Leverkusen,Bundesliga,FW
Yadaly Diaby,21.0,FRA,2.86,0.0,0.0,0.0,5.71,0.0,5,67,Clermont Foot,Ligue 1,FW
Mouctar Diakhaby,25.0,FRA,0.37,0.0,0.05,0.05,9.72,1.48,29,1948,Valencia,La Liga,DF
Ibrahim DiakitÃ©,18.0,FRA,0.0,0.0,0.0,0.0,1.0,0.0,1,4,Reims,Ligue 1,MF
Abdou Diallo,26.0,SEN,0.21,0.0,0.1,0.0,5.98,1.86,12,877,Paris S-G,Ligue 1,DF
Habib Diallo,26.0,SEN,2.92,0.64,0.06,0.88,4.21,0.41,31,1541,Strasbourg,Ligue 1,FW
Ibrahima Diallo,23.0,FRA,0.7,0.0,0.18,0.0,8.86,1.75,23,1023,Southampton,Premier League,MF
Mouhamadou Diarra,18.0,SEN,0.0,0.0,0.0,0.0,7.5,2.5,4,109,Strasbourg,Ligue 1,MF
StÃ©phane Diarra,23.0,FRA,2.07,0.0,0.0,0.34,5.69,1.55,15,525,Lorient,Ligue 1,FW
Raphael Dias Belloli,25.0,BRA,2.62,0.34,0.09,0.43,6.54,0.77,35,2915,Leeds United,Premier League,FW
RÃºben Dias,25.0,POR,0.67,0.07,0.15,0.07,8.13,1.01,29,2402,Manchester City,Premier League,DF
Krepin Diatta,23.0,SEN,0.94,0.31,0.0,0.0,7.81,1.25,8,285,Monaco,Ligue 1,DF
Amadou Diawara,24.0,GUI,0.53,0.0,0.0,0.0,10.0,1.05,4,170,Roma,Serie A,MF
Brahim DÃ­az,22.0,ESP,1.46,0.15,0.15,0.19,6.5,1.31,31,1855,Milan,Serie A,MF
Luis DÃ­az,25.0,COL,3.58,0.38,0.28,0.28,7.64,0.94,13,958,Liverpool,Premier League,FW
VÃ­ctor DÃ­az,33.0,ESP,0.78,0.06,0.0,0.0,9.22,0.84,22,1500,Granada,La Liga,DF
Daniel Didavi,32.0,GER,2.26,0.0,0.32,0.65,5.81,0.32,10,277,Stuttgart,Bundesliga,FW
Bamba Dieng,22.0,SEN,3.43,0.65,0.09,0.37,2.87,1.2,25,975,Marseille,Ligue 1,FW
Eric Dier,28.0,ENG,0.38,0.0,0.0,0.0,7.04,0.38,35,3071,Tottenham,Premier League,DF
Elhadji Dieye,19.0,SEN,5.0,0.0,0.0,2.5,5.0,5.0,5,34,Saint-Ãtienne,Ligue 1,FW
Lucas Digne,28.0,FRA,0.64,0.0,0.28,0.21,8.51,0.71,16,1269,Aston Villa,Premier League,DF
Lucas Digne,28.0,FRA,0.69,0.0,0.0,0.0,10.6,1.31,13,1170,Everton,Premier League,DF
Virgil van Dijk,30.0,NED,1.03,0.09,0.03,0.0,12.1,0.35,34,3060,Liverpool,Premier League,DF
Mitchell Dijks,29.0,NED,0.65,0.0,0.26,0.0,4.94,1.82,16,694,Bologna,Serie A,DF
JavairÃ´ Dilrosun,23.0,NED,0.67,0.0,0.0,0.0,6.67,0.67,2,138,Hertha BSC,Bundesliga,FW
JavairÃ´ Dilrosun,23.0,NED,2.08,0.1,0.31,0.05,4.48,0.52,32,1732,Bordeaux,Ligue 1,FW
Federico Dimarco,24.0,ITA,2.39,0.13,0.19,0.13,8.49,0.75,32,1430,Inter,Serie A,DF
Landry Dimata,24.0,BEL,1.33,0.0,0.0,0.5,2.83,0.33,17,541,Espanyol,La Liga,FW
Junior Dina Ebimbe,21.0,FRA,1.14,0.0,0.0,0.0,6.57,1.71,10,316,Paris S-G,Ligue 1,MF
Tristan DingomÃ©,31.0,CMR,1.67,0.17,0.33,0.08,7.83,1.0,25,1077,Troyes,Ligue 1,FW
Sinaly Diomande,21.0,CIV,0.47,0.0,0.0,0.0,6.25,0.63,11,579,Lyon,Ligue 1,DF
Issa Diop,25.0,FRA,0.19,0.0,0.09,0.09,8.97,0.28,13,963,West Ham,Premier League,DF
Sofiane Diop,21.0,FRA,1.71,0.28,0.19,0.19,6.85,0.93,30,1948,Monaco,Ligue 1,FW
Andy Diouf,20.0,FRA,0.0,0.0,0.0,0.0,15.0,5.0,5,14,Rennes,Ligue 1,MF
Assane DioussÃ©,24.0,SEN,0.0,0.0,0.0,0.0,30.0,0.0,4,23,Saint-Ãtienne,Ligue 1,MF
Axel Disasi,24.0,FRA,0.66,0.03,0.0,0.1,9.4,0.89,32,2721,Monaco,Ligue 1,DF
Filippo Distefano,18.0,ITA,0.0,0.0,0.0,1.0,1.0,0.0,1,2,Fiorentina,Serie A,FW
Tiago DjalÃ³,22.0,POR,0.5,0.04,0.04,0.04,8.53,1.51,28,2329,Lille,Ligue 1,DF
DjenÃ©,30.0,TOG,0.12,0.0,0.03,0.03,10.4,1.04,35,3115,Getafe,La Liga,DF
Moussa Djenepo,23.0,MLI,2.16,0.0,0.0,0.0,10.6,1.57,12,457,Southampton,Premier League,MF
Koffi Djidji,29.0,CIV,0.52,0.0,0.0,0.05,9.79,1.04,25,1735,Torino,Serie A,DF
Alexander Djiku,27.0,GHA,0.5,0.03,0.0,0.07,8.43,1.34,31,2694,Strasbourg,Ligue 1,DF
Bryan Djile NokouÃ©,20.0,CMR,0.0,0.0,0.0,0.0,8.33,3.33,2,57,Saint-Ãtienne,Ligue 1,DF
Berat Djimsiti,29.0,ALB,0.72,0.04,0.04,0.04,10.5,1.24,31,2256,Atalanta,Serie A,DF
NaÃ¯s Djouahra,22.0,FRA,2.5,0.0,0.0,0.42,8.33,0.83,7,219,Real Sociedad,La Liga,FW
Lewis Dobbin,19.0,ENG,0.0,0.0,0.0,0.0,5.0,5.0,3,32,Everton,Premier League,FW
Matt Doherty,30.0,IRL,1.65,0.21,0.41,0.0,7.42,1.24,15,875,Tottenham,Premier League,DF
Jeremy Doku,20.0,BEL,0.96,0.19,0.38,0.0,7.12,0.77,14,469,Rennes,Ligue 1,FW
Kasper Dolberg,24.0,DEN,2.35,0.36,0.12,0.18,2.71,0.6,26,1492,Nice,Ligue 1,FW
Brandon Domingues,21.0,FRA,1.54,0.38,0.0,0.0,6.15,0.77,11,231,Troyes,Ligue 1,FW
Carlos Dominguez,21.0,ESP,0.26,0.0,0.0,0.0,8.95,1.32,8,344,Celta Vigo,La Liga,DF
Mario Dominguez,18.0,ESP,0.0,0.0,0.0,0.0,3.33,0.0,2,25,Valencia,La Liga,FW
NicolÃ¡s DomÃ­nguez,23.0,ARG,0.98,0.0,0.13,0.0,11.6,2.14,28,2015,Bologna,Serie A,MF
John Donald,21.0,ESP,1.0,0.0,0.0,0.0,9.5,3.0,2,180,Elche,La Liga,DF
Lee Dongjun,25.0,KOR,2.31,0.0,0.0,0.77,8.46,0.77,4,118,Hertha BSC,Bundesliga,MF
Anastasios Donis,25.0,GRE,2.44,0.0,0.0,1.95,4.88,1.71,13,370,Reims,Ligue 1,FW
Niklas Dorsch,24.0,GER,0.47,0.04,0.0,0.0,11.8,2.09,30,2324,Augsburg,Bundesliga,MF
Gabriel Dos Santos,24.0,BRA,0.88,0.15,0.0,0.03,7.35,1.09,35,3063,Arsenal,Premier League,DF
Jodel Dossou,30.0,BEN,2.38,0.13,0.04,0.63,5.34,1.03,35,2008,Clermont Foot,Ligue 1,FW
Lucas Douath,18.0,FRA,0.6,0.05,0.0,0.0,11.3,1.85,31,1804,Saint-Ãtienne,Ligue 1,MF
Lohann Doucet,19.0,FRA,0.0,0.0,0.0,0.0,40.0,0.0,2,6,Nantes,Ligue 1,MF
Abdoulaye DoucourÃ©,29.0,MLI,1.21,0.07,0.14,0.04,12.6,1.6,30,2537,Everton,Premier League,MF
Cheick DoucourÃ©,22.0,MLI,0.95,0.03,0.12,0.0,9.14,2.05,34,2946,Lens,Ligue 1,MF
FodÃ© DoucourÃ©,21.0,MLI,0.59,0.0,0.0,0.0,8.24,3.53,3,154,Reims,Ligue 1,DF
IsmaÃ«l DoukourÃ©,18.0,FRA,0.0,0.0,0.0,0.0,5.0,0.0,1,17,Strasbourg,Ligue 1,DF
Kamory Doumbia,19.0,FRA,1.03,0.51,0.26,0.26,7.69,1.79,8,352,Reims,Ligue 1,FW
Moussa Doumbia,27.0,MLI,3.0,0.0,0.0,1.0,5.0,0.0,4,86,Reims,Ligue 1,FW
Souleyman Doumbia,25.0,CIV,0.57,0.0,0.04,0.04,5.38,0.93,27,2219,Angers,Ligue 1,DF
Kieran Dowell,24.0,ENG,0.79,0.1,0.1,0.0,4.85,0.69,19,912,Norwich City,Premier League,FW
Radu Dr?gu?in,20.0,ROU,0.0,0.0,0.0,0.0,7.04,0.74,7,488,Salernitana,Serie A,DF
Radu Dr?gu?in,20.0,ROU,0.43,0.0,0.0,0.14,11.9,0.29,13,620,Sampdoria,Serie A,DF
Cody Drameh,20.0,ENG,0.0,0.0,0.0,0.0,6.43,2.14,3,128,Leeds United,Premier League,DF
Julian Draxler,28.0,GER,1.48,0.33,0.16,0.16,4.26,0.66,18,548,Paris S-G,Ligue 1,FW
Domingos Duarte,27.0,POR,0.32,0.05,0.0,0.0,10.4,0.48,21,1687,Granada,La Liga,DF
Ãscar Duarte,32.0,CRC,1.02,0.1,0.0,0.1,10.7,0.71,23,1773,Levante,La Liga,DF
RubÃ©n Duarte,26.0,ESP,0.31,0.0,0.14,0.07,9.42,1.37,34,2621,AlavÃ©s,La Liga,DF
Leo Dubois,27.0,FRA,0.52,0.0,0.0,0.05,7.16,1.91,23,1742,Lyon,Ligue 1,DF
Ondrej Duda,27.0,SVK,2.35,0.11,0.0,0.0,8.94,1.01,31,1611,KÃ¶ln,Bundesliga,MF
Jeremy Dudziak,26.0,TUN,1.27,0.16,0.0,0.24,6.67,1.03,22,1134,Greuther FÃ¼rth,Bundesliga,FW
Shane Duffy,30.0,IRL,1.31,0.06,0.0,0.06,9.5,0.56,18,1436,Brighton,Premier League,DF
Unai Dufur,23.0,ESP,1.0,0.0,0.0,0.0,13.0,1.0,1,90,Osasuna,La Liga,DF
Denzel Dumfries,26.0,NED,1.73,0.22,0.18,0.18,5.78,1.11,33,2028,Inter,Serie A,DF
Paul Dummett,30.0,WAL,0.0,0.0,0.0,0.0,4.55,1.82,3,198,Newcastle Utd,Premier League,DF
Alfred Duncan,29.0,GHA,0.51,0.09,0.09,0.0,6.65,1.07,33,1931,Fiorentina,Serie A,MF
Lewis Dunk,30.0,ENG,0.66,0.03,0.0,0.0,8.99,0.38,29,2573,Brighton,Premier League,DF
Erik Durm,30.0,GER,0.19,0.0,0.19,0.0,7.92,1.13,7,474,Eint Frankfurt,Bundesliga,DF
Hugo Duro,22.0,ESP,1.52,0.34,0.05,0.34,5.54,0.98,30,1834,Valencia,La Liga,FW
Hugo Duro,22.0,ESP,20.0,0.0,0.0,0.0,10.0,0.0,1,12,Getafe,La Liga,DF
Jean-Kevin Duverne,24.0,FRA,0.42,0.03,0.09,0.09,8.14,1.32,37,3007,Brest,Ligue 1,DF
Paulo Dybala,28.0,ARG,4.28,0.44,0.22,0.26,6.38,0.66,29,2061,Juventus,Serie A,FW
Edin D?eko,36.0,BIH,3.18,0.47,0.22,0.18,3.91,0.66,36,2469,Inter,Serie A,FW
Enzo Ebosse,23.0,CMR,0.19,0.0,0.0,0.0,7.71,0.67,27,1890,Angers,Ligue 1,DF
Tyronne Ebuehi,26.0,NGA,0.63,0.0,0.0,0.08,6.51,1.19,19,1138,Venezia,Serie A,DF
Ãderson,22.0,BRA,1.73,0.16,0.08,0.08,7.32,1.81,15,1147,Salernitana,Serie A,MF
Odsonne Ãdouard,24.0,FRA,2.18,0.34,0.17,0.23,4.94,0.75,28,1564,Crystal Palace,Premier League,FW
CJ Egan-Riley,19.0,ENG,0.0,0.0,0.0,0.0,0.0,1.0,1,4,Manchester City,Premier League,DF
Maximilian Eggestein,25.0,GER,0.98,0.04,0.08,0.04,11.2,1.19,31,2194,Freiburg,Bundesliga,MF
Lilian Egloff,19.0,GER,0.0,0.0,0.0,0.0,3.33,3.33,4,31,Stuttgart,Bundesliga,FW
Kingsley Ehizibue,27.0,NED,0.79,0.0,0.13,0.0,10.0,1.84,16,681,KÃ¶ln,Bundesliga,DF
Julian Eitschberger,18.0,GER,0.0,0.0,0.0,0.0,18.0,0.0,1,45,Hertha BSC,Bundesliga,DF
Albin Ekdal,32.0,SWE,0.77,0.05,0.0,0.0,10.7,1.48,26,1637,Sampdoria,Serie A,MF
Hugo Ekitike,19.0,FRA,2.06,0.71,0.21,0.85,5.18,0.92,24,1273,Reims,Ligue 1,FW
Jurgen Ekkelenkamp,22.0,NED,1.75,0.38,0.0,0.0,7.25,0.63,21,718,Hertha BSC,Bundesliga,FW
Caleb Ekuban,28.0,GHA,2.04,0.05,0.1,0.1,4.92,0.73,30,1716,Genoa,Serie A,FW
Anthony Elanga,20.0,SWE,1.56,0.15,0.15,0.22,4.96,1.26,21,1214,Manchester Utd,Premier League,FW
Alberth Elis,26.0,HON,1.91,0.57,0.06,0.57,4.08,0.96,20,1409,Bordeaux,Ligue 1,FW
Harvey Elliott,19.0,ENG,2.63,0.0,0.0,0.0,11.8,0.26,6,346,Liverpool,Premier League,MF
Elif Elmas,22.0,MKD,1.78,0.17,0.22,0.11,4.83,0.67,37,1620,Napoli,Serie A,FW
Mohamed Elneny,29.0,EGY,0.89,0.0,0.22,0.0,10.4,1.0,14,806,Arsenal,Premier League,MF
Aritz Elustondo,28.0,ESP,0.68,0.17,0.04,0.09,10.0,0.68,30,2105,Real Sociedad,La Liga,DF
Nico Elvedi,25.0,SUI,0.52,0.04,0.0,0.0,10.1,0.89,28,2430,M'Gladbach,Bundesliga,DF
Sepe Elye Wahi,19.0,FRA,2.17,0.51,0.05,1.06,3.08,0.71,33,1786,Montpellier,Ligue 1,FW
Mohamed Elyounoussi,27.0,NOR,1.89,0.18,0.09,0.04,7.36,1.45,30,2042,Southampton,Premier League,FW
Adri Embarba,30.0,ESP,2.22,0.0,0.09,0.27,7.06,1.13,32,1986,Espanyol,La Liga,FW
Breel Embolo,25.0,SUI,1.99,0.37,0.12,0.83,4.56,0.87,29,2166,M'Gladbach,Bundesliga,FW
Emerson,23.0,BRA,0.59,0.04,0.04,0.08,8.31,1.54,31,2286,Tottenham,Premier League,DF
Emerson,23.0,BRA,0.0,0.0,0.0,0.0,5.0,3.0,3,91,Barcelona,La Liga,DF
Renaud Emond,30.0,BEL,0.48,0.0,0.0,0.0,2.86,0.95,6,190,Nantes,Ligue 1,FW
Youssef En-Nesyri,24.0,MAR,2.54,0.35,0.07,1.27,2.68,0.35,23,1277,Sevilla,La Liga,FW
Keita Endo,24.0,JPN,3.33,0.0,0.0,1.67,10.0,0.0,4,55,Union Berlin,Bundesliga,FW
Wataru Endo,29.0,JPN,1.43,0.12,0.06,0.03,11.1,1.3,33,2899,Stuttgart,Bundesliga,MF
Christian Eriksen,30.0,DEN,2.12,0.1,0.38,0.0,8.17,0.96,11,939,Brentford,Premier League,MF
Martin Erlic,24.0,CRO,0.52,0.07,0.0,0.0,7.87,0.77,30,2576,Spezia,Serie A,DF
Gonzalo Escalante,29.0,ARG,0.0,0.0,0.0,0.0,10.0,0.0,1,9,Lazio,Serie A,MF
Gonzalo Escalante,29.0,ARG,1.18,0.35,0.0,0.21,10.7,1.11,17,1300,AlavÃ©s,La Liga,MF
Sergio Escudero,32.0,ESP,1.32,0.13,0.06,0.31,10.3,1.45,27,1434,Granada,La Liga,DF
Alfonso Espino,30.0,URU,0.73,0.05,0.05,0.16,10.9,2.11,37,3329,CÃ¡diz,La Liga,DF
Estanis,18.0,ESP,0.0,0.0,0.0,0.0,0.0,10.0,1,11,Barcelona,La Liga,FW
Maxime EstÃ¨ve,20.0,FRA,0.24,0.0,0.0,0.0,7.14,0.92,24,1857,Montpellier,Ligue 1,DF
Pervis EstupiÃ±Ã¡n,24.0,ECU,0.8,0.0,0.06,0.63,9.31,1.14,28,1575,Villarreal,La Liga,DF
Oghenekaro Etebo,26.0,NGA,0.67,0.0,0.0,0.0,7.78,2.22,9,401,Watford,Premier League,MF
Jonny Evans,34.0,NIR,0.2,0.07,0.07,0.0,12.0,1.2,18,1348,Leicester City,Premier League,DF
Eberechi Eze,23.0,ENG,1.49,0.15,0.15,0.0,8.06,0.75,13,605,Crystal Palace,Premier League,FW
Abdessamad Ezzalzouli,20.0,MAR,2.5,0.16,0.0,0.31,5.78,1.56,10,580,Barcelona,La Liga,FW
Fabinho,28.0,BRA,0.74,0.19,0.04,0.0,12.1,1.44,29,2314,Liverpool,Premier League,MF
FÃ¡bio,31.0,BRA,0.59,0.0,0.11,0.05,9.35,1.95,27,1667,Nantes,Ligue 1,DF
Cesc FÃ bregas,35.0,ESP,0.0,0.0,0.0,0.0,17.5,0.0,2,38,Monaco,Ligue 1,MF
Wout Faes,24.0,BEL,0.62,0.11,0.0,0.0,6.27,0.73,37,3330,Reims,Ligue 1,DF
Wahidullah Faghir,18.0,DEN,4.29,0.71,0.0,1.43,1.43,0.0,6,123,Stuttgart,Bundesliga,FW
Romain Faivre,23.0,FRA,1.61,0.35,0.25,0.05,6.08,1.21,21,1795,Brest,Ligue 1,MF
Romain Faivre,23.0,FRA,2.02,0.3,0.0,0.1,7.58,0.4,14,889,Lyon,Ligue 1,FW
Radamel Falcao,36.0,COL,3.55,0.65,0.0,1.61,3.44,0.11,22,838,Rayo Vallecano,La Liga,FW
Diego Falcinelli,30.0,ITA,7.14,0.0,0.0,0.0,2.86,2.86,6,66,Bologna,Serie A,FW
Fali,28.0,ESP,0.75,0.0,0.1,0.0,8.25,1.35,28,1803,CÃ¡diz,La Liga,DF
Paolo FaragÃ²,29.0,ITA,10.0,0.0,0.0,0.0,15.0,5.0,1,16,Cagliari,Serie A,MF
Omar Faraj,20.0,SWE,0.0,0.0,0.0,0.0,2.0,1.0,1,4,Levante,La Liga,FW
Davide Faraoni,30.0,ITA,1.01,0.14,0.17,0.21,8.18,1.57,32,2572,Hellas Verona,Serie A,DF
Diego Farias,32.0,BRA,1.43,0.0,0.0,0.0,10.0,0.0,4,66,Cagliari,Serie A,FW
Ãmer Faruk Beyaz,18.0,TUR,3.75,0.0,0.0,0.0,13.8,6.25,4,71,Stuttgart,Bundesliga,FW
Noah Fatar,20.0,FRA,0.0,0.0,0.0,0.0,10.0,0.0,3,5,Angers,Ligue 1,DF
Ansu Fati,19.0,ESP,4.86,1.08,0.0,0.81,3.24,0.54,10,336,Barcelona,La Liga,FW
Julien Faussurier,35.0,FRA,0.74,0.0,0.19,0.93,7.04,1.48,16,489,Brest,Ligue 1,DF
Andrea Favilli,25.0,ITA,0.0,0.0,0.0,2.5,2.5,0.0,1,36,Genoa,Serie A,FW
Federico Fazio,35.0,ARG,1.01,0.06,0.0,0.06,9.5,0.57,16,1434,Salernitana,Serie A,DF
Aleix Febas,26.0,ESP,0.0,0.0,0.0,0.0,10.8,3.08,4,117,Mallorca,La Liga,MF
Adrian Fein,23.0,GER,2.5,0.0,0.0,0.0,2.5,0.0,3,32,Greuther FÃ¼rth,Bundesliga,MF
Nabil Fekir,28.0,FRA,2.71,0.19,0.26,0.29,5.58,1.1,34,2794,Betis,La Liga,MF
Felipe,33.0,BRA,0.66,0.12,0.06,0.12,12.3,0.96,26,1504,AtlÃ©tico Madrid,La Liga,DF
Luiz Felipe,25.0,ITA,0.18,0.0,0.0,0.0,7.4,0.9,31,2491,Lazio,Serie A,DF
Ohis Felix Uduokhai,24.0,GER,0.23,0.0,0.0,0.0,7.93,0.69,13,787,Augsburg,Bundesliga,DF
JoÃ£o FÃ©lix,22.0,POR,2.79,0.57,0.29,0.64,4.0,0.36,24,1263,AtlÃ©tico Madrid,La Liga,FW
Kiko FemenÃ­a,31.0,ESP,0.13,0.0,0.21,0.08,8.7,1.09,27,2142,Watford,Premier League,DF
Evan Ferguson,17.0,IRL,0.0,0.0,0.0,0.0,0.0,0.0,1,23,Brighton,Premier League,MF
Nathan Ferguson,21.0,ENG,0.0,0.0,0.0,0.0,20.0,0.0,1,9,Crystal Palace,Premier League,DF
Bruno Fernandes,27.0,POR,2.51,0.29,0.17,0.09,7.46,1.3,36,3111,Manchester Utd,Premier League,MF
Ãlex FernÃ¡ndez,29.0,ESP,0.83,0.13,0.09,0.09,8.64,1.4,32,2051,CÃ¡diz,La Liga,MF
Federico FernÃ¡ndez,33.0,ARG,1.03,0.0,0.0,0.0,5.86,0.17,7,523,Newcastle Utd,Premier League,DF
Fernandinho,37.0,BRA,1.68,0.19,0.09,0.0,10.2,1.5,19,964,Manchester City,Premier League,DF
Fernando,34.0,BRA,0.34,0.05,0.05,0.05,10.3,1.12,24,1850,Sevilla,La Liga,DF
Alex Ferrari,27.0,ITA,0.22,0.05,0.0,0.0,7.43,1.31,23,1643,Sampdoria,Serie A,DF
Salvador Ferrer,24.0,ESP,0.36,0.0,0.18,0.0,8.07,1.39,27,1495,Spezia,Serie A,DF
Jordan Ferri,30.0,FRA,0.4,0.0,0.06,0.0,11.8,1.46,34,2911,Montpellier,Ligue 1,MF
Riccardo Fiamozzi,29.0,ITA,0.0,0.0,0.14,0.0,10.4,0.87,10,620,Empoli,Serie A,DF
Fidel,32.0,ESP,0.64,0.2,0.24,0.28,6.14,0.8,33,2261,Elche,La Liga,FW
Karol Fila,23.0,POL,0.0,0.0,0.0,0.0,5.81,1.94,16,560,Strasbourg,Ligue 1,DF
Alfre? Finnbogason,33.0,ISL,1.88,0.63,0.31,0.31,6.25,0.0,10,292,Augsburg,Bundesliga,FW
Luca Fiordilino,25.0,ITA,0.41,0.0,0.0,0.27,8.77,1.78,15,661,Venezia,Serie A,MF
Roberto Firmino,30.0,BRA,2.73,0.45,0.36,0.27,6.27,1.91,20,990,Liverpool,Premier League,FW
Junior Firpo,25.0,ESP,0.63,0.0,0.11,0.05,7.53,2.0,24,1711,Leeds United,Premier League,DF
Ashley Fletcher,26.0,ENG,6.67,0.0,0.0,0.0,13.3,6.67,3,30,Watford,Premier League,FW
Alexis Flips,22.0,FRA,1.54,0.17,0.34,0.09,7.52,2.14,25,1056,Reims,Ligue 1,FW
Phil Foden,22.0,ENG,2.46,0.38,0.21,0.55,4.87,0.64,28,2128,Manchester City,Premier League,FW
Mamadou Fofana,24.0,MLI,0.0,0.0,0.0,0.0,2.5,2.5,1,33,Metz,Ligue 1,DF
Seko Fofana,27.0,CIV,2.63,0.21,0.03,0.13,6.7,0.59,38,3357,Lens,Ligue 1,MF
Wesley Fofana,21.0,FRA,0.43,0.0,0.0,0.0,10.9,0.71,7,630,Leicester City,Premier League,DF
Youssouf Fofana,23.0,FRA,1.28,0.0,0.16,0.0,9.3,2.1,33,2190,Monaco,Ligue 1,MF
Thomas Foket,27.0,BEL,0.32,0.04,0.0,0.16,6.69,0.69,29,2235,Reims,Ligue 1,DF
Thomas Fontaine,31.0,MAD,0.0,0.0,0.0,0.0,6.32,0.0,2,167,Lorient,Ligue 1,DF
JosÃ© FontÃ¡n,22.0,ESP,0.32,0.0,0.0,0.0,7.42,1.29,9,276,Celta Vigo,La Liga,DF
JosÃ© Fonte,38.0,POR,0.61,0.0,0.05,0.0,10.5,0.39,38,3420,Lille,Ligue 1,DF
Fernando Forestieri,32.0,ITA,5.0,3.33,1.67,0.0,8.33,1.67,4,58,Udinese,Serie A,FW
Pablo Fornals,26.0,ESP,1.38,0.19,0.1,0.19,7.56,1.09,36,2795,West Ham,Premier League,FW
Emil Forsberg,30.0,SWE,2.0,0.32,0.11,0.21,5.37,0.79,31,1706,RB Leipzig,Bundesliga,FW
Adam Forshaw,30.0,ENG,0.82,0.0,0.06,0.12,11.2,1.65,22,1530,Leeds United,Premier League,MF
Marcus Forss,22.0,FIN,2.17,0.0,0.43,0.0,4.78,0.87,7,209,Brentford,Premier League,FW
Philipp FÃ¶rster,27.0,GER,2.71,0.19,0.09,0.19,7.38,1.12,20,967,Stuttgart,Bundesliga,FW
